code	ccd_comp_id	anomer	config	sugar	ring	linkage	method	onebead_target	identity	status
3EB		beta	D	altro	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3FA	FCA	alpha	D	fuco	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3FB	FCB	beta	D	fuco	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3GA	GLC	alpha	D	gluco	pyranose	3	ccd_name_index	GLC	alpha-D-Glcp	SUPPORTED_ONEBEAD
3GB	BGC	beta	D	gluco	pyranose	3	ccd_name_index	GLC	beta-D-Glcp	SUPPORTED_ONEBEAD
3HA	XXR	alpha	D	rhamno	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3HB	UBO	beta	D	rhamno	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3JA	T6T	alpha	D	tagato	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3JB		beta	D	tagato	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3JD		alpha	D	tagato	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3JU		beta	D	tagato	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3KA	4GL	alpha	D	gulo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3KB	GL0	beta	D	gulo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3LA	GLA	alpha	D	galacto	pyranose	3	ccd_name_index	GAL	alpha-D-Galp	SUPPORTED_ONEBEAD
3LB	GAL	beta	D	galacto	pyranose	3	ccd_name_index	GAL	beta-D-Galp	SUPPORTED_ONEBEAD
3MA	MAN	alpha	D	manno	pyranose	3	ccd_name_index	MAN	alpha-D-Manp	SUPPORTED_ONEBEAD
3MB	BMA	beta	D	manno	pyranose	3	ccd_name_index	BMA	beta-D-Manp	SUPPORTED_ONEBEAD
3NA	AFD	alpha	D	allo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3NB	ALL	beta	D	allo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3OA	ADA	alpha	D	galacto	pyranuronic acid	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3OB	GTR	beta	D	galacto	pyranuronic acid	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3PA		alpha	D	psico	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
