code	ccd_comp_id	anomer	config	sugar	ring	linkage	method	onebead_target	identity	status
4nA	Z2D	alpha	L	allo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4nB	WOO	beta	L	allo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4oA		alpha	L	galacto	pyranuronic acid	4	undecoded			UNSUPPORTED_ONEBEAD
4oB		beta	L	galacto	pyranuronic acid	4	undecoded			UNSUPPORTED_ONEBEAD
4pA		alpha	L	psico	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4pB		beta	L	psico	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4pD	SF6	alpha	L	psico	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4pU	SF9	beta	L	psico	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4qA		alpha	L	quinovo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4qB		beta	L	quinovo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4rA		alpha	L	ribo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4rB	0MK	beta	L	ribo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4sA	SIA	alpha	L	neuraminic	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4sB	SLB	beta	L	neuraminic	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4tA		alpha	L	talo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4tB	ZEE	beta	L	talo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4uA	IDR	alpha	L	ido	pyranuronic acid	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4uB		beta	L	ido	pyranuronic acid	4	undecoded			UNSUPPORTED_ONEBEAD
4vA	YYQ	alpha	L	galacto	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4vB		beta	L	galacto	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4wA		alpha	L	manno	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4wB		beta	L	manno	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4xA	HSY	alpha	L	xylo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4xB	LXC	beta	L	xylo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4yA	NGZ	alpha	L	gluco	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4yB		beta	L	gluco	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4zA		alpha	L	gluco	pyranuronic acid	4	undecoded			UNSUPPORTED_ONEBEAD
4zB		beta	L	gluco	pyranuronic acid	4	undecoded			UNSUPPORTED_ONEBEAD
5AD	BXY	alpha	D	arabino	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5AU	BXX	beta	D	arabino	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5BA		alpha	D	sorbo	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5BB		beta	D	sorbo	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5CA		alpha	D	fructo	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5CB	BDF	beta	D	fructo	pyranose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5DD		alpha	D	lyxo	furanose	5	undecoded			UNSUPPORTED_ONEBEAD
5DU		beta	D	lyxo	furanose	5	undecoded			UNSUPPORTED_ONEBEAD
5JA	T6T	alpha	D	tagato	pyranose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5JB		beta	D	tagato	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5PA		alpha	D	psico	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5PB		beta	D	psico	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5RD	RIB	alpha	D	ribo	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5RU	BDR	beta	D	ribo	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5XD		alpha	D	xylo	furanose	5	undecoded			UNSUPPORTED_ONEBEAD
5XU	XYZ	beta	D	xylo	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5aD	AHR	alpha	L	arabino	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5aU	FUB	beta	L	arabino	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5bA	SOE	alpha	L	sorbo	pyranose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5bB		beta	L	sorbo	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5cA		alpha	L	fructo	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5cB		beta	L	fructo	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5dD		alpha	L	lyxo	furanose	5	undecoded			UNSUPPORTED_ONEBEAD
5dU		beta	L	lyxo	furanose	5	undecoded			UNSUPPORTED_ONEBEAD
5jA		alpha	L	tagato	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5jB		beta	L	tagato	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5pA		alpha	L	psico	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5pB		beta	L	psico	pyranose	5	undecoded			UNSUPPORTED_ONEBEAD
5rD	Z6J	alpha	L	ribo	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5rU	32O	beta	L	ribo	furanose	5	ccd_name_index			UNSUPPORTED_ONEBEAD
5xD		alpha	L	xylo	furanose	5	undecoded			UNSUPPORTED_ONEBEAD
5xU		beta	L	xylo	furanose	5	undecoded			UNSUPPORTED_ONEBEAD
6BD		alpha	D	sorbo	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6BU	UEA	beta	D	sorbo	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6CD	Z9N	alpha	D	fructo	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6CU	FRU	beta	D	fructo	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6EA	SHD	alpha	D	altro	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6EB		beta	D	altro	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6GA	GLC	alpha	D	gluco	pyranose	6	ccd_name_index	GLC	alpha-D-Glcp	SUPPORTED_ONEBEAD
6GB	BGC	beta	D	gluco	pyranose	6	ccd_name_index	GLC	beta-D-Glcp	SUPPORTED_ONEBEAD
6JD		alpha	D	tagato	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6JU		beta	D	tagato	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6KA	4GL	alpha	D	gulo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6KB	GL0	beta	D	gulo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6LA	GLA	alpha	D	galacto	pyranose	6	ccd_name_index	GAL	alpha-D-Galp	SUPPORTED_ONEBEAD
6LB	GAL	beta	D	galacto	pyranose	6	ccd_name_index	GAL	beta-D-Galp	SUPPORTED_ONEBEAD
6MA	MAN	alpha	D	manno	pyranose	6	ccd_name_index	MAN	alpha-D-Manp	SUPPORTED_ONEBEAD
6MB	BMA	beta	D	manno	pyranose	6	ccd_name_index	BMA	beta-D-Manp	SUPPORTED_ONEBEAD
6NA	AFD	alpha	D	allo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6NB	ALL	beta	D	allo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6PD	PSV	alpha	D	psico	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6PU	TTV	beta	D	psico	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6TA		alpha	D	talo	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6TB	SDY	beta	D	talo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6VA	A2G	alpha	D	galacto	pyranose	6	ccd_name_index	NGA	alpha-D-GalNAcp	SUPPORTED_ONEBEAD
6VB	NGA	beta	D	galacto	pyranose	6	ccd_name_index	NGA	beta-D-GalNAcp	SUPPORTED_ONEBEAD
6WA	BM3	alpha	D	manno	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6WB	BM7	beta	D	manno	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6YA	NDG	alpha	D	gluco	pyranose	6	ccd_name_index	NAG	alpha-D-GlcNAcp	SUPPORTED_ONEBEAD
6YB	NAG	beta	D	gluco	pyranose	6	ccd_name_index	NAG	beta-D-GlcNAcp	SUPPORTED_ONEBEAD
6bD		alpha	L	sorbo	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6bU		beta	L	sorbo	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6cD		alpha	L	fructo	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6cU	LFR	beta	L	fructo	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6eA	Z6H	alpha	L	altro	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6eB	3MK	beta	L	altro	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6gA		alpha	L	gluco	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6gB	Z8T	beta	L	gluco	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6jD		alpha	L	tagato	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6jU		beta	L	tagato	furanose	6	undecoded			UNSUPPORTED_ONEBEAD
6kA	GUP	alpha	L	gulo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6kB	Z8H	beta	L	gulo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6lA	GXL	alpha	L	galacto	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6lB	GIV	beta	L	galacto	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6mA		alpha	L	manno	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6mB		beta	L	manno	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6nA	Z2D	alpha	L	allo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6nB	WOO	beta	L	allo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6pD	SF6	alpha	L	psico	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6pU	SF9	beta	L	psico	furanose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6tA		alpha	L	talo	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6tB	ZEE	beta	L	talo	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6vA	YYQ	alpha	L	galacto	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6vB		beta	L	galacto	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6wA		alpha	L	manno	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6wB		beta	L	manno	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
6yA	NGZ	alpha	L	gluco	pyranose	6	ccd_name_index			UNSUPPORTED_ONEBEAD
6yB		beta	L	gluco	pyranose	6	undecoded			UNSUPPORTED_ONEBEAD
7SA	SIA	alpha	D	neuraminic	pyranose	7	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
7SB	SLB	beta	D	neuraminic	pyranose	7	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
7sA	SIA	alpha	L	neuraminic	pyranose	7	ccd_name_index			UNSUPPORTED_ONEBEAD
7sB	SLB	beta	L	neuraminic	pyranose	7	ccd_name_index			UNSUPPORTED_ONEBEAD
8SA	SIA	alpha	D	neuraminic	pyranose	8	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
8SB	SLB	beta	D	neuraminic	pyranose	8	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
8sA	SIA	alpha	L	neuraminic	pyranose	8	ccd_name_index			UNSUPPORTED_ONEBEAD
8sB	SLB	beta	L	neuraminic	pyranose	8	ccd_name_index			UNSUPPORTED_ONEBEAD
9SA	SIA	alpha	D	neuraminic	pyranose	9	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
9SB	SLB	beta	D	neuraminic	pyranose	9	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
9sA	SIA	alpha	L	neuraminic	pyranose	9	ccd_name_index			UNSUPPORTED_ONEBEAD
9sB	SLB	beta	L	neuraminic	pyranose	9	ccd_name_index			UNSUPPORTED_ONEBEAD
ASA	SIA	alpha	D	neuraminic	pyranose	A	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
ASB	SLB	beta	D	neuraminic	pyranose	A	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
AsA	SIA	alpha	L	neuraminic	pyranose	A	ccd_name_index			UNSUPPORTED_ONEBEAD
AsB	SLB	beta	L	neuraminic	pyranose	A	ccd_name_index			UNSUPPORTED_ONEBEAD
BSA	SIA	alpha	D	neuraminic	pyranose	B	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
BSB	SLB	beta	D	neuraminic	pyranose	B	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
BsA	SIA	alpha	L	neuraminic	pyranose	B	ccd_name_index			UNSUPPORTED_ONEBEAD
BsB	SLB	beta	L	neuraminic	pyranose	B	ccd_name_index			UNSUPPORTED_ONEBEAD
CSA	SIA	alpha	D	neuraminic	pyranose	C	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
CSB	SLB	beta	D	neuraminic	pyranose	C	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
CsA	SIA	alpha	L	neuraminic	pyranose	C	ccd_name_index			UNSUPPORTED_ONEBEAD
CsB	SLB	beta	L	neuraminic	pyranose	C	ccd_name_index			UNSUPPORTED_ONEBEAD
DSA	SIA	alpha	D	neuraminic	pyranose	D	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
DSB	SLB	beta	D	neuraminic	pyranose	D	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
DsA	SIA	alpha	L	neuraminic	pyranose	D	ccd_name_index			UNSUPPORTED_ONEBEAD
DsB	SLB	beta	L	neuraminic	pyranose	D	ccd_name_index			UNSUPPORTED_ONEBEAD
ESA	SIA	alpha	D	neuraminic	pyranose	E	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
ESB	SLB	beta	D	neuraminic	pyranose	E	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
EsA	SIA	alpha	L	neuraminic	pyranose	E	ccd_name_index			UNSUPPORTED_ONEBEAD
EsB	SLB	beta	L	neuraminic	pyranose	E	ccd_name_index			UNSUPPORTED_ONEBEAD
FSA	SIA	alpha	D	neuraminic	pyranose	F	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
FSB	SLB	beta	D	neuraminic	pyranose	F	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
FsA	SIA	alpha	L	neuraminic	pyranose	F	ccd_name_index			UNSUPPORTED_ONEBEAD
FsB	SLB	beta	L	neuraminic	pyranose	F	ccd_name_index			UNSUPPORTED_ONEBEAD
GSA	SIA	alpha	D	neuraminic	pyranose	G	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
GSB	SLB	beta	D	neuraminic	pyranose	G	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
GsA	SIA	alpha	L	neuraminic	pyranose	G	ccd_name_index			UNSUPPORTED_ONEBEAD
GsB	SLB	beta	L	neuraminic	pyranose	G	ccd_name_index			UNSUPPORTED_ONEBEAD
HSA	SIA	alpha	D	neuraminic	pyranose	H	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
HSB	SLB	beta	D	neuraminic	pyranose	H	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
HsA	SIA	alpha	L	neuraminic	pyranose	H	ccd_name_index			UNSUPPORTED_ONEBEAD
HsB	SLB	beta	L	neuraminic	pyranose	H	ccd_name_index			UNSUPPORTED_ONEBEAD
ISA	SIA	alpha	D	neuraminic	pyranose	I	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
ISB	SLB	beta	D	neuraminic	pyranose	I	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
IsA	SIA	alpha	L	neuraminic	pyranose	I	ccd_name_index			UNSUPPORTED_ONEBEAD
IsB	SLB	beta	L	neuraminic	pyranose	I	ccd_name_index			UNSUPPORTED_ONEBEAD
JSA	SIA	alpha	D	neuraminic	pyranose	J	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
JSB	SLB	beta	D	neuraminic	pyranose	J	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
JsA	SIA	alpha	L	neuraminic	pyranose	J	ccd_name_index			UNSUPPORTED_ONEBEAD
JsB	SLB	beta	L	neuraminic	pyranose	J	ccd_name_index			UNSUPPORTED_ONEBEAD
KSA	SIA	alpha	D	neuraminic	pyranose	K	ccd_name_index	SIA	alpha-D-Neu5Ac	SUPPORTED_ONEBEAD
KSB	SLB	beta	D	neuraminic	pyranose	K	ccd_name_index	SIA	beta-D-Neu5Ac	SUPPORTED_ONEBEAD
KsA	SIA	alpha	L	neuraminic	pyranose	K	ccd_name_index			UNSUPPORTED_ONEBEAD
KsB	SLB	beta	L	neuraminic	pyranose	K	ccd_name_index			UNSUPPORTED_ONEBEAD
PEA	SHD	alpha	D	altro	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PEB		beta	D	altro	pyranose	P	undecoded			UNSUPPORTED_ONEBEAD
PGA	GLC	alpha	D	gluco	pyranose	P	ccd_name_index	GLC	alpha-D-Glcp	SUPPORTED_ONEBEAD
PGB	BGC	beta	D	gluco	pyranose	P	ccd_name_index	GLC	beta-D-Glcp	SUPPORTED_ONEBEAD
PKA	4GL	alpha	D	gulo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PKB	GL0	beta	D	gulo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PLA	GLA	alpha	D	galacto	pyranose	P	ccd_name_index	GAL	alpha-D-Galp	SUPPORTED_ONEBEAD
PLB	GAL	beta	D	galacto	pyranose	P	ccd_name_index	GAL	beta-D-Galp	SUPPORTED_ONEBEAD
PMA	MAN	alpha	D	manno	pyranose	P	ccd_name_index	MAN	alpha-D-Manp	SUPPORTED_ONEBEAD
PMB	BMA	beta	D	manno	pyranose	P	ccd_name_index	BMA	beta-D-Manp	SUPPORTED_ONEBEAD
PNA	AFD	alpha	D	allo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PNB	ALL	beta	D	allo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PTA		alpha	D	talo	pyranose	P	undecoded			UNSUPPORTED_ONEBEAD
PTB	SDY	beta	D	talo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PeA	Z6H	alpha	L	altro	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PeB	3MK	beta	L	altro	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PgA		alpha	L	gluco	pyranose	P	undecoded			UNSUPPORTED_ONEBEAD
PgB	Z8T	beta	L	gluco	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PkA	GUP	alpha	L	gulo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PkB	Z8H	beta	L	gulo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PlA	GXL	alpha	L	galacto	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PlB	GIV	beta	L	galacto	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PmA		alpha	L	manno	pyranose	P	undecoded			UNSUPPORTED_ONEBEAD
PmB		beta	L	manno	pyranose	P	undecoded			UNSUPPORTED_ONEBEAD
PnA	Z2D	alpha	L	allo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PnB	WOO	beta	L	allo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
PtA		alpha	L	talo	pyranose	P	undecoded			UNSUPPORTED_ONEBEAD
PtB	ZEE	beta	L	talo	pyranose	P	ccd_name_index			UNSUPPORTED_ONEBEAD
QBD		alpha	D	sorbo	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QBU	UEA	beta	D	sorbo	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QCD	Z9N	alpha	D	fructo	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QCU	FRU	beta	D	fructo	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QEA	SHD	alpha	D	altro	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QEB		beta	D	altro	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QGA	GLC	alpha	D	gluco	pyranose	Q	ccd_name_index	GLC	alpha-D-Glcp	SUPPORTED_ONEBEAD
QGB	BGC	beta	D	gluco	pyranose	Q	ccd_name_index	GLC	beta-D-Glcp	SUPPORTED_ONEBEAD
QJD		alpha	D	tagato	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QJU		beta	D	tagato	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QKA	4GL	alpha	D	gulo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QKB	GL0	beta	D	gulo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QLA	GLA	alpha	D	galacto	pyranose	Q	ccd_name_index	GAL	alpha-D-Galp	SUPPORTED_ONEBEAD
QLB	GAL	beta	D	galacto	pyranose	Q	ccd_name_index	GAL	beta-D-Galp	SUPPORTED_ONEBEAD
QMA	MAN	alpha	D	manno	pyranose	Q	ccd_name_index	MAN	alpha-D-Manp	SUPPORTED_ONEBEAD
QMB	BMA	beta	D	manno	pyranose	Q	ccd_name_index	BMA	beta-D-Manp	SUPPORTED_ONEBEAD
QNA	AFD	alpha	D	allo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QNB	ALL	beta	D	allo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QPD	PSV	alpha	D	psico	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QPU	TTV	beta	D	psico	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QTA		alpha	D	talo	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QTB	SDY	beta	D	talo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QVA	A2G	alpha	D	galacto	pyranose	Q	ccd_name_index	NGA	alpha-D-GalNAcp	SUPPORTED_ONEBEAD
QVB	NGA	beta	D	galacto	pyranose	Q	ccd_name_index	NGA	beta-D-GalNAcp	SUPPORTED_ONEBEAD
QWA	BM3	alpha	D	manno	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QWB	BM7	beta	D	manno	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QYA	NDG	alpha	D	gluco	pyranose	Q	ccd_name_index	NAG	alpha-D-GlcNAcp	SUPPORTED_ONEBEAD
QYB	NAG	beta	D	gluco	pyranose	Q	ccd_name_index	NAG	beta-D-GlcNAcp	SUPPORTED_ONEBEAD
QbD		alpha	L	sorbo	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QbU		beta	L	sorbo	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QcD		alpha	L	fructo	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QcU	LFR	beta	L	fructo	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QeA	Z6H	alpha	L	altro	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QeB	3MK	beta	L	altro	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QgA		alpha	L	gluco	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QgB	Z8T	beta	L	gluco	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QjD		alpha	L	tagato	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QjU		beta	L	tagato	furanose	Q	undecoded			UNSUPPORTED_ONEBEAD
QkA	GUP	alpha	L	gulo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QkB	Z8H	beta	L	gulo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QlA	GXL	alpha	L	galacto	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QlB	GIV	beta	L	galacto	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QmA		alpha	L	manno	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QmB		beta	L	manno	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QnA	Z2D	alpha	L	allo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QnB	WOO	beta	L	allo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QpD	SF6	alpha	L	psico	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QpU	SF9	beta	L	psico	furanose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QtA		alpha	L	talo	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QtB	ZEE	beta	L	talo	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QvA	YYQ	alpha	L	galacto	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QvB		beta	L	galacto	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QwA		alpha	L	manno	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QwB		beta	L	manno	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
QyA	NGZ	alpha	L	gluco	pyranose	Q	ccd_name_index			UNSUPPORTED_ONEBEAD
QyB		beta	L	gluco	pyranose	Q	undecoded			UNSUPPORTED_ONEBEAD
REA	SHD	alpha	D	altro	pyranose	R	ccd_name_index			UNSUPPORTED_ONEBEAD
REB		beta	D	altro	pyranose	R	undecoded			UNSUPPORTED_ONEBEAD
RGA	GLC	alpha	D	gluco	pyranose	R	ccd_name_index	GLC	alpha-D-Glcp	SUPPORTED_ONEBEAD
RGB	BGC	beta	D	gluco	pyranose	R	ccd_name_index	GLC	beta-D-Glcp	SUPPORTED_ONEBEAD
RKA	4GL	alpha	D	gulo	pyranose	R	ccd_name_index			UNSUPPORTED_ONEBEAD
RKB	GL0	beta	D	gulo	pyranose	R	ccd_name_index			UNSUPPORTED_ONEBEAD
RLA	GLA	alpha	D	galacto	pyranose	R	ccd_name_index	GAL	alpha-D-Galp	SUPPORTED_ONEBEAD
RLB	GAL	beta	D	galacto	pyranose	R	ccd_name_index	GAL	beta-D-Galp	SUPPORTED_ONEBEAD
RMA	MAN	alpha	D	manno	pyranose	R	ccd_name_index	MAN	alpha-D-Manp	SUPPORTED_ONEBEAD
RMB	BMA	beta	D	manno	pyranose	R	ccd_name_index	BMA	beta-D-Manp	SUPPORTED_ONEBEAD
RNA	AFD	alpha	D	allo	pyranose	R	ccd_name_index			UNSUPPORTED_ONEBEAD
RNB	ALL	beta	D	allo	pyranose	R	ccd_name_index			UNSUPPORTED_ONEBEAD
